# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.09761410 0.00952851 120.25681836 1941.30137097 130.17802962 0.39620046 89.81123187 8.46510605 6.70479095
0.09402352 0.00884042 127.49280545 2313.24091945 130.17802962 0.13550513 89.93910344 8.46814783 6.98749086
0.09361965 0.00876464 128.39655218 2362.78343878 130.17802962 0.04277720 89.98091107 8.46417794 7.01254376
0.09505950 0.00903631 123.51604164 2103.45840449 130.17802962 0.29571622 89.86282504 8.48940849 6.88618112
0.09686924 0.00938365 117.59645258 1815.29200811 130.17802962 0.42977854 89.79060124 8.53443823 6.71743630
0.09648835 0.00931000 124.34627928 2146.16059628 130.17802962 0.30778546 89.85817970 8.41696263 6.79390799
0.09535095 0.00909180 128.87283668 2389.17519391 130.17802962 0.16180305 89.92806370 8.35998838 6.86849431
0.09393085 0.00882300 127.80270320 2330.15039241 130.17802962 0.12677457 89.94316514 8.45508995 6.98121382
0.09568948 0.00915648 125.93549561 2229.50422448 130.17802962 0.25722194 89.88297388 8.41075141 6.84625055
0.09464810 0.00895826 128.28704357 2356.74298447 130.17802962 0.12238540 89.94534001 8.43266302 6.95396746
0.09596347 0.00920899 124.12174753 2134.55562698 130.17802962 0.30458507 89.85940049 8.43526781 6.81990117
0.09739171 0.00948515 115.67670193 1727.83205340 130.17802962 0.46426230 89.77004581 8.54871160 6.65475578
0.09570824 0.00916007 126.71519083 2271.17123190 130.17802962 0.24459110 89.88940516 8.38246797 6.83259911
0.09686536 0.00938290 121.68284152 2011.18425768 130.17802962 0.35934754 89.83079679 8.46984691 6.77176765
0.09295977 0.00864152 126.74361970 2272.70020410 130.17802962 0.06685666 89.96977674 8.55989641 7.09774328
0.09572027 0.00916237 122.01298776 2027.59876686 130.17802962 0.34478078 89.83809502 8.47733325 6.81380201
0.09594286 0.00920503 124.49140000 2153.68352306 130.17802962 0.30098128 89.86147658 8.41832426 6.81005771
0.09609568 0.00923438 120.90377722 1972.80172964 130.17802962 0.36632572 89.82639955 8.49758914 6.79714828
0.09485933 0.00899829 127.33458629 2304.63937464 130.17802962 0.17763969 89.92006879 8.43769291 6.93176128
0.09527140 0.00907664 120.24195942 1940.58185760 130.17802962 0.35107466 89.83271127 8.58084874 6.89649385
0.09691861 0.00939322 121.19314065 1987.00039322 130.17802962 0.37686202 89.82183284 8.45333520 6.73449816
0.09439061 0.00890959 128.83664039 2387.16262883 130.17802962 0.04410352 89.98038644 8.44081382 6.98214009
0.09479102 0.00898534 121.99490676 2026.69749612 130.17802962 0.31739050 89.85093512 8.54145478 6.91076384
0.09481239 0.00898939 125.91432524 2228.38004223 130.17802962 0.23327826 89.89384951 8.44850749 6.90785969
0.09560448 0.00914022 126.85854859 2278.88834596 130.17802962 0.24866592 89.88768974 8.36478057 6.81666853
0.09551466 0.00912305 126.43561917 2256.17172253 130.17802962 0.24596308 89.88853888 8.39696253 6.84624888
0.09592509 0.00920162 122.36650607 2045.27406870 130.17802962 0.33737797 89.84202901 8.47429747 6.81682446
0.09612937 0.00924086 123.06988666 2080.74679613 130.17802962 0.33681137 89.84319564 8.42907754 6.77792433
0.09497628 0.00902049 129.32243625 2414.26792869 130.17802962 0.08127686 89.96399062 8.39721803 6.93154930
0.09403919 0.00884337 128.75275846 2382.50301947 130.17802962 0.04456477 89.98016840 8.44345195 6.98923211
0.09505772 0.00903597 122.90575078 2072.43274131 130.17802962 0.30576903 89.85745750 8.50831682 6.89172895
0.09492397 0.00901056 122.70679263 2062.38454750 130.17802962 0.30203052 89.85897202 8.52973702 6.91485570
0.09530518 0.00908308 125.45095675 2203.86894914 130.17802962 0.24206698 89.88944345 8.46822576 6.91036259
0.09620737 0.00925586 121.34279322 1994.37029158 130.17802962 0.35708099 89.83139285 8.49429783 6.80464207
0.09391410 0.00881986 129.39544400 2418.35909315 130.17802962 0.07444059 89.96703801 8.38804258 6.94036658
0.09506249 0.00903688 123.07377354 2080.94394900 130.17802962 0.30626912 89.85741929 8.49556483 6.88082703
0.09636049 0.00928534 120.19088336 1938.10996256 130.17802962 0.37801414 89.81979789 8.51541580 6.79135695
0.09306147 0.00866044 126.82276736 2276.96056645 130.17802962 0.10526322 89.95244435 8.53156479 7.06380066
0.09526196 0.00907484 129.26695655 2411.16207735 130.17802962 0.11525117 89.94891651 8.37947926 6.90375619
0.09414787 0.00886382 128.69707366 2379.41310131 130.17802962 0.00120279 89.99946452 8.45495657 6.99988496
0.09769551 0.00954441 117.54302840 1812.81906533 130.17802962 0.44519029 89.78299363 8.48925274 6.64024997
0.09572746 0.00916375 127.65998520 2322.35283043 130.17802962 0.20321722 89.90879293 8.38787410 6.86426874
0.09596743 0.00920975 124.50650822 2154.46772847 130.17802962 0.30251579 89.86078724 8.41399665 6.80468333
0.09424885 0.00888285 127.90746761 2335.88541228 130.17802962 0.10768519 89.95176273 8.46664672 6.99237196
0.09728694 0.00946475 120.11229131 1934.31049499 130.17802962 0.40517016 89.80672599 8.44325735 6.67908700
0.09466881 0.00896218 126.57454502 2263.61705582 130.17802962 0.20891522 89.90543149 8.44276059 6.92120584
0.09613319 0.00924159 118.11342069 1839.33813298 130.17802962 0.40658550 89.80276857 8.57094607 6.79700283
