# Kepler-51 transit observable posteriors
# Derived from TTV-fit MCMC posterior (Kipping D.)
# Method: Kipping+2014 asterodensity profiling Eq.1-4
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.04659774 0.00217135 106.09614881 3103.66666706 85.31620000 0.94802870 89.48802320 2.72403638 0.62098599
0.04901803 0.00240277 123.37554472 4880.49039394 85.31620000 0.93543378 89.56557905 2.50816831 0.90476338
0.04945236 0.00244554 116.96209938 4158.26035530 85.31620000 0.93746733 89.54076152 2.62865136 0.87573689
0.05440840 0.00296027 119.55891788 4441.42302553 85.31620000 0.93150078 89.55359580 2.69335998 0.88661520
0.06564435 0.00430918 132.10004789 5990.80437243 85.31620000 0.91899314 89.60140171 2.66185892 0.83254992
0.04985431 0.00248545 128.31942292 5491.02481503 85.31620000 0.92706188 89.58605491 2.50260782 1.05735764
0.05136898 0.00263877 117.51931372 4217.97452813 85.31620000 0.93922584 89.54208165 2.62045351 0.73903587
0.04723811 0.00223144 126.97217762 5319.88098834 85.31620000 0.92939803 89.58060844 2.47746123 1.07645701
0.05391039 0.00290633 148.60304414 8528.23837790 85.31620000 0.90217877 89.65215145 2.38949714 1.24951598
0.05000418 0.00250042 124.31195418 4992.46344605 85.31620000 0.94145297 89.56607715 2.43778986 0.66648647
0.05456138 0.00297694 126.99621086 5322.90239564 85.31620000 0.94479445 89.57374135 2.40434020 0.17909040
0.04122663 0.00169963 99.64853045 2571.51408881 85.31620000 0.95678615 89.44985992 2.68669079 0.40356427
0.04301455 0.00185025 104.45339546 2961.71932619 85.31620000 0.95377049 89.47682138 2.63417675 0.48907936
0.05164337 0.00266704 109.53777166 3415.60718362 85.31620000 0.93123104 89.51289633 2.90756339 1.06757654
0.05369232 0.00288286 113.08146478 3757.94560105 85.31620000 0.93509261 89.52620466 2.79932515 0.83725551
0.05294017 0.00280266 108.22626090 3294.38366452 85.31620000 0.93708123 89.50389610 2.89182209 0.82578739
0.04465867 0.00199440 110.26658658 3484.23954111 85.31620000 0.95065882 89.50602068 2.55997541 0.55842619
0.04385292 0.00192308 114.10753828 3861.17265032 85.31620000 0.93157675 89.53223065 2.69010242 1.23017808
0.04786634 0.00229119 132.08875237 5989.26773107 85.31620000 0.92047013 89.60072694 2.47096469 1.20154614
0.05736193 0.00329039 141.30335579 7332.18882493 85.31620000 0.88531567 89.64101926 2.66669352 1.49311783
0.04560348 0.00207968 154.28866822 9545.05211378 85.31620000 0.86834142 89.67753587 2.46059063 1.67307972
0.05392968 0.00290841 117.12236991 4175.37770124 85.31620000 0.93410539 89.54303466 2.71614241 0.83468222
0.05661895 0.00320571 120.11835275 4504.06154693 85.31620000 0.93408790 89.55444083 2.67993703 0.71674493
0.06387806 0.00408041 103.88940311 2914.00280889 85.31620000 0.93541599 89.48410414 3.17955794 0.22804671
0.05314603 0.00282450 148.36373785 8487.10376307 85.31620000 0.89473951 89.65446335 2.44029461 1.36097245
0.04856790 0.00235884 116.79425884 4140.38472770 85.31620000 0.94242403 89.53766987 2.56548133 0.72891195
0.05540408 0.00306961 114.97469396 3949.87179569 85.31620000 0.93319340 89.53495306 2.79469406 0.82952406
0.06245046 0.00390006 117.50598091 4216.53907767 85.31620000 0.92700407 89.54798920 2.87937706 0.77779819
0.04965191 0.00246531 120.77032207 4577.80075356 85.31620000 0.93833890 89.55482938 2.53879138 0.81279801
0.04760201 0.00226595 116.65049585 4125.11424139 85.31620000 0.92230970 89.54698003 2.77591885 1.32704498
0.06150532 0.00378290 133.88023086 6236.27948931 85.31620000 0.90826298 89.61129411 2.67475864 1.15033122
0.05610403 0.00314766 125.88336972 5184.19456464 85.31620000 0.91654908 89.58282926 2.71665982 1.16788121
0.05374214 0.00288822 122.17296543 4739.16204852 85.31620000 0.93396974 89.56198947 2.60307503 0.81092092
0.04429050 0.00196165 139.68917641 7083.77051396 85.31620000 0.89697169 89.63209000 2.49523430 1.53921286
0.05594282 0.00312960 132.27781571 6015.02251735 85.31620000 0.91317803 89.60445625 2.61254700 1.18000149
0.04818583 0.00232187 149.50792473 8684.98059860 85.31620000 0.88583986 89.66051845 2.44280712 1.51794488
0.04675734 0.00218625 133.95692164 6247.00263792 85.31620000 0.91824742 89.60724602 2.44505738 1.24519228
0.05082178 0.00258285 158.76759096 10400.68104735 85.31620000 0.87785897 89.68319813 2.37107423 1.48188708
0.05623309 0.00316216 115.43879249 3997.89642775 85.31620000 0.94071769 89.53308806 2.71181710 0.42800187
0.06009673 0.00361162 121.11542336 4617.15620553 85.31620000 0.91147427 89.56880701 2.91310137 1.23462292
0.04964833 0.00246496 109.67239781 3428.21640686 85.31620000 0.94454758 89.50653710 2.72081946 0.62326355
0.04653392 0.00216541 128.03595874 5454.71527725 85.31620000 0.93446669 89.58182472 2.39858482 0.96413042
0.04755228 0.00226122 99.33953639 2547.66663516 85.31620000 0.94921021 89.45251842 2.90753463 0.51482874
0.05281023 0.00278892 134.58339618 6335.05898919 85.31620000 0.93161958 89.60338127 2.37500862 0.82832393
0.05386184 0.00290110 119.03559083 4383.35564427 85.31620000 0.92788108 89.55337553 2.73593814 1.01281964
0.04897673 0.00239872 143.55200279 7687.83371192 85.31620000 0.91256414 89.63576666 2.34865510 1.21553439
0.04625916 0.00213991 132.33488588 6022.81127067 85.31620000 0.89603188 89.61205062 2.66048763 1.60919903
0.05090662 0.00259148 104.00695134 2923.90536643 85.31620000 0.94752936 89.47801388 2.84844297 0.34131835
0.05210795 0.00271524 112.96481788 3746.32829494 85.31620000 0.93742327 89.52453326 2.75609387 0.81059673
0.05233423 0.00273887 114.92049711 3944.28874820 85.31620000 0.92877951 89.53693443 2.80604919 1.06770330
0.04892697 0.00239385 115.35756478 3989.46308787 85.31620000 0.92713729 89.53950462 2.77183835 1.19799944
0.04584589 0.00210185 148.80783757 8563.54590276 85.31620000 0.89082336 89.65700245 2.39994322 1.49719406
0.05233287 0.00273873 114.09350280 3859.74802745 85.31620000 0.94150898 89.52718514 2.68540633 0.61618077
0.04779638 0.00228449 137.82737615 6804.28785818 85.31620000 0.90818146 89.62246005 2.47124462 1.35333159
0.05185515 0.00268896 148.68248505 8541.92288669 85.31620000 0.90718089 89.65040967 2.33377461 1.20851612
0.05185515 0.00268896 148.68248505 8541.92288669 85.31620000 0.90718089 89.65040967 2.33377461 1.20851612
0.05160795 0.00266338 135.32442250 6440.28015957 85.31620000 0.90230296 89.61796597 2.60145926 1.40667306
0.05591429 0.00312641 126.02574981 5201.80518248 85.31620000 0.91308441 89.58487578 2.74270128 1.24096929
0.04643609 0.00215631 133.51856990 6185.87626906 85.31620000 0.93427864 89.59907704 2.30084718 0.93144598
0.04677296 0.00218771 107.88702199 3263.50159407 85.31620000 0.94440656 89.49844569 2.72756742 0.78161468
0.05306456 0.00281585 122.12387254 4733.45131684 85.31620000 0.92148568 89.56767059 2.72040221 1.16381528
0.05306456 0.00281585 122.12387254 4733.45131684 85.31620000 0.92148568 89.56767059 2.72040221 1.16381528
0.04649989 0.00216224 114.39186523 3890.10780913 85.31620000 0.93324245 89.53255901 2.69805709 1.11394409
