# Transit observable posteriors (photo-ring pipeline, step 1)
# Derived from a TTV-fit MCMC posterior via asterodensity profiling (Zuluaga+2015 Eq.1-4)
#
# Columns:
#   p        : Rp/R*          [dimensionless]
#   delta    : transit depth  [dimensionless = (Rp/R*)^2]
#   aR       : a/R*           [dimensionless]
#   rho_obs  : stellar density [kg/m^3]
#   P        : orbital period [days]
#   b        : impact param   [R*]
#   i_orb    : inclination    [degrees]
#   T14      : total duration [hours]
#   T23      : full duration  [hours]
#            p         delta            aR       rho_obs             P             b         i_orb           T14           T23
0.07018593 0.00492606 63.73076007 2401.41913441 45.15535633 0.14564830 89.86905789 5.73907884 4.97094848
0.07092565 0.00503045 63.05930773 2326.31364995 45.15535633 0.25473292 89.76854866 5.69058463 4.88787334
0.07092997 0.00503106 62.72750581 2289.78513010 45.15535633 0.23609399 89.78434945 5.74484254 4.94177758
0.07066455 0.00499348 64.99045230 2546.65052416 45.15535633 0.02501524 89.97794649 5.68166477 4.93118185
0.07121861 0.00507209 65.53473714 2611.17126675 45.15535633 0.03413714 89.97015454 5.63606429 4.88577674
0.07149228 0.00511115 65.68021693 2628.59942350 45.15535633 0.05355907 89.95327803 5.62084024 4.86869333
0.07076012 0.00500699 61.17103961 2123.52929732 45.15535633 0.33893416 89.68253611 5.72819483 4.87948350
0.07166402 0.00513573 59.56009677 1960.13894157 45.15535633 0.39692689 89.61816040 5.76584331 4.86076664
0.07149719 0.00511185 65.35268820 2589.47094280 45.15535633 0.01738761 89.98475600 5.65536321 4.90036997
0.07033102 0.00494645 64.59504144 2500.45023964 45.15535633 0.00824258 89.99268884 5.71605730 4.96475392
0.07061300 0.00498620 63.21877009 2344.00643783 45.15535633 0.23835402 89.78397695 5.69562015 4.90190576
0.07125530 0.00507732 62.32684098 2246.18756578 45.15535633 0.29297086 89.73067694 5.70338215 4.87810541
0.07022136 0.00493104 64.43923713 2482.40046423 45.15535633 0.07578427 89.93261683 5.71508183 4.96098197
0.07028535 0.00494003 62.32515051 2246.00480292 45.15535633 0.24416571 89.77553684 5.76799081 4.96542913
0.06997496 0.00489650 64.68262979 2510.63557633 45.15535633 0.00987739 89.99125062 5.70634330 4.95984481
0.07049020 0.00496887 62.62391140 2278.45912186 45.15535633 0.24535272 89.77552167 5.74009408 4.93878431
0.07122562 0.00507309 64.77774456 2521.72741845 45.15535633 0.07194457 89.93636516 5.69198919 4.93132045
