cos_i_ring,theta_ring_deg,p_true,b_true,PR
0.6535000000000001,29.25,0.06186059235761765,0.6132391462450967,-1.4132086580199275
0.6535000000000001,30.0,0.06186059235761765,0.6141044314495313,-1.4017236761138883
0.6535000000000001,30.75,0.06186059235761765,0.6149643383716444,-1.3902752722472025
0.665875,30.75,0.06166163397318487,0.6135095742191368,-1.409681737862925
0.665875,31.5,0.06166163397318487,0.6143265555699867,-1.398835045665853
0.665875,32.25,0.06166163397318487,0.6151366464645353,-1.3880494190129544
0.67825,31.5,0.06147086482117888,0.6127784838865324,-1.4194158020354877
0.67825,32.25,0.06147086482117888,0.6135545108562501,-1.4091467258460622
0.67825,33.0,0.06147086482117888,0.6143235575881099,-1.3989430469477773
0.67825,33.75,0.06147086482117888,0.6150845984913808,-1.388819269757149
0.690625,33.75,0.061285754706265835,0.6134054241370855,-1.4111892430149418
0.690625,34.5,0.061285754706265835,0.614127370568525,-1.4016242045752811
0.690625,35.25,0.061285754706265835,0.6148405420770189,-1.3921528577129454
0.690625,36.0,0.061285754706265835,0.6155440994489226,-1.3827873763866072
0.7030000000000001,35.25,0.06110606594636046,0.6130728085297062,-1.4156642743513257
0.7030000000000001,36.0,0.06110606594636046,0.6137489938021629,-1.4067249123988153
0.7030000000000001,36.75,0.06110606594636046,0.6144159312423579,-1.3978886166206386
0.7030000000000001,37.5,0.06110606594636046,0.6150729099591354,-1.3891658087165708
0.7030000000000001,38.25,0.06110606594636046,0.6157192617055782,-1.3805664207144763
0.7153750000000001,37.5,0.0609315733325937,0.6131991680144626,-1.414090384449794
0.7153750000000001,38.25,0.0609315733325937,0.6138218289653136,-1.4058658091490592
0.7153750000000001,39.0,0.0609315733325937,0.6144344200184007,-1.3977587365643298
0.7153750000000001,39.75,0.0609315733325937,0.6150363839966912,-1.389777525886719
0.7153750000000001,40.5,0.0609315733325937,0.6156272040339779,-1.3819300476342313
0.72775,39.75,0.0607620633730798,0.613068672668176,-1.4159287096172815
0.72775,40.5,0.0607620633730798,0.6136392263077142,-1.4084069604276672
0.72775,41.25,0.0607620633730798,0.614199326163893,-1.4010107355405257
0.72775,42.0,0.0607620633730798,0.6147485481934964,-1.3937465493595558
0.72775,42.75,0.0607620633730798,0.6152865052206641,-1.3866204511894529
0.740125,42.75,0.06059733358612068,0.6132177935420791,-1.4141155680189887
0.740125,43.5,0.06059733358612068,0.6137280814500821,-1.4073981965383413
0.740125,44.25,0.06059733358612068,0.6142275642801948,-1.4008141040811655
0.740125,45.0,0.06059733358612068,0.6147159624868568,-1.394367789350335
