# rho_grid_gcc rho_cdf
7.543594939124281806e-01 2.907604724456835044e-06
7.544586728613633664e-01 2.940488849386070995e-06
7.545578518102985521e-01 2.973389844813313189e-06
7.546570307592337379e-01 3.006307383139398026e-06
7.547562097081689236e-01 3.039241137747783229e-06
7.548553886571041094e-01 3.072190783028734022e-06
7.549545676060391841e-01 3.105155994403417831e-06
7.550537465549743699e-01 3.138136448348173893e-06
7.551529255039095556e-01 3.171131822418354271e-06
7.552521044528447414e-01 3.204141795272545606e-06
7.553512834017799271e-01 3.237166046696520671e-06
7.554504623507151129e-01 3.270204257627233963e-06
7.555496412996502986e-01 3.303256110176741072e-06
7.556488202485854844e-01 3.336321287656106602e-06
7.557479991975205591e-01 3.369399474599211310e-06
7.558471781464557449e-01 3.402490356786703228e-06
7.559463570953909306e-01 3.435593621269546452e-06
7.560455360443261164e-01 3.468708956392870624e-06
7.561447149932613021e-01 3.501836051819593412e-06
7.562438939421964879e-01 3.534974598554032397e-06
7.563430728911316736e-01 3.568124288965448783e-06
7.564422518400668594e-01 3.601284816811554673e-06
7.565414307890019341e-01 3.634455877261888215e-06
7.566406097379371198e-01 3.667637166921366204e-06
7.567397886868723056e-01 3.700828383853352597e-06
7.568389676358074913e-01 3.734029227603058223e-06
7.569381465847426771e-01 3.767239399220695699e-06
7.570373255336778628e-01 3.800458601284576746e-06
7.571365044826130486e-01 3.833686537924162077e-06
7.572356834315481233e-01 3.866922914842996083e-06
7.573348623804833091e-01 3.900167439341743586e-06
7.574340413294184948e-01 3.933419820340791645e-06
7.575332202783536806e-01 3.966679768403134267e-06
7.576323992272888663e-01 3.999946995757000894e-06
7.577315781762240521e-01 4.033221216318428137e-06
7.578307571251592378e-01 4.066502145713759509e-06
7.579299360740944236e-01 4.099789501302054533e-06
7.580291150230294983e-01 4.133083002197371633e-06
7.581282939719646841e-01 4.166382369291142515e-06
7.582274729208998698e-01 4.199687325274095916e-06
7.583266518698350556e-01 4.232997594658443940e-06
7.584258308187702413e-01 4.266312903799812588e-06
7.585250097677054271e-01 4.299632980919072337e-06
7.586241887166406128e-01 4.332957556124110276e-06
